query,intent_category,answer_1,answer_2,answer_3,completeness_1,factuality_1,usefulness_1,completeness_2,factuality_2,usefulness_2,completeness_3,factuality_3,usefulness_3
Κολλάει ο ιός τις πρώτες δύο μέρες άλλους ανθρώπους;,out_of_scope,"ένα άλλο άτομο μπορεί να προσβληθεί από τον ιό όταν τα μολυσματικά σωματίδια που περνούν από τον αέρα εισπνέονται σε μικρή απόσταση (αυτό μερικές φορές ονομάζεται μετάδοση με αερολύματα μικρής εμβέλειας ή αερομεταφερόμενη μετάδοση μικρής εμβέλειας) ή αν τα μολυσματικά σωματίδια έρθουν σε άμεση επαφή με τα μάτια, τη μύτη ή το στόμα (μερικές φορές ονομάζεται μετάδοση με σταγονίδια), ο ιός που προκαλεί το COVID-19 και οι ιοί της γρίπης εξαπλώνονται ευκολότερα σε κακώς αεριζόμενους ή/και πολυσύχναστους εσωτερικούς χώρους και όπου οι άνθρωποι τείνουν να περνούν μεγαλύτερες χρονικές περιόδους.","Όχι, ο ιός δεν κολλάει τις πρώτες δύο μέρες άλλους ανθρώπους. Ο ιός μεταδίδεται από άτομο σε άτομο μέσω υγρών σωματιδίων, όπως αερολύματα (μικρότερα) και σταγονίδια (μεγαλύτερα) από τη μύτη ή το στόμα, τα οποία μεταδίδονται όταν ένα άτομο με COVID-19 βήχει, φτερνίζεται ή μιλάει. Οι άνθρωποι μπορούν να κολλήσουν το COVID-19 εάν εισπνεύσουν αυτά τα σταγονίδια από έναν έφηβο που έχει μολυνθεί από τον ιό. Οι μολυσμένοι άνθρωποι μπορεί να είναι μεταδοτικοί είτε έχουν συμπτώματα είτε όχι, και φαίνεται να είναι πιο μολυσματικοί λίγο πριν εκδηλώσουν συμπτώματα (δηλαδή 2 ημέρες πριν εκδηλώσουν συμπτώματα) και στην αρχή της ασθένειάς τους.",,2,4,2,3,4,3,,,
ξέρεις τι κάνουν τα τσιπάκια μέσα στο εμβόλιο;,faq,οι γυναίκες που θηλάζουν μπορούν να κάνουν το εμβόλιο όταν καταστεί διαθέσιμο σε αυτές.,"Τα τσιπάκια μέσα στο εμβόλιο δεν είναι στην πραγματικότητα τσιπάκια με την παραδοσιακή έννοια. Τα τσιπάκια που αναφέρονται στο πλαίσιο των εμβολίων COVID-19 αναφέρονται σε μικροσκοπικά, βιοδιασπώμενα σωματίδια που ονομάζονται λιπιδικά νανοσωματίδια. Αυτά τα σωματίδια λειτουργούν ως οχήματα για το γενετικό υλικό του εμβολίου, το οποίο στη συνέχεια παράγει τα αντιγόνα που εκπαιδεύουν το ανοσοποιητικό σύστημα να αναγνωρίζει και να πολεμά τον ιό. Με απλά λόγια, τα τσιπάκια βοηθούν στη μεταφορά του γενετικού υλικού του εμβολίου στα κύτταρα και δεν περιέχουν κάποια μορφή ηλεκτρονικής παρακολούθησης ή ελέγχου.","Το εμβόλιο κατά του κορωνοϊού είναι ασφαλές. Δεν εμπεριέχει κανενός είδους chip που θα μπορούσε να σε βλάψει, ούτε σχετίζεται με δίκτυα 5G, 4G ή κάτι παρόμοιο.",1,2,1,5,4,5,3.0,3.0,3.0
Η μάσκα είναι επικίνδυνη αν την φοράω όλη μέρα;,faq,"Ακόμη και όταν βρίσκεστε σε περιοχή με ενεργή μετάδοση του COVID-19, οι μάσκες δεν πρέπει να φοριούνται κατά τη διάρκεια έντονης σωματικής δραστηριότητας, λόγω του κινδύνου μείωσης της αναπνευστικής σας ικανότητας.","Δεν είναι επικίνδυνο να φοράτε μάσκα όλη μέρα, αρκεί να την αλλάζετε τακτικά και να βεβαιώνεστε ότι εφαρμόζει σωστά για να διασφαλίσετε την μέγιστη προστασία. Η χρήση μάσκας κατά τη διάρκεια έντονης σωματικής δραστηριότητας δεν συνιστάται λόγω του κίνδυνου μείωσης της αναπνευστικής ικανότητας, αλλά μπορείτε να την αφαιρέσετε κατά τη διάρκεια τέτοιων δραστηριοτήτων.","Η μάσκα δεν είναι επικίνδυνη, αντίθετα αποτελούσε και αποτελεί μέρος της καθημερινής ρουτίνας ατομικής προστασίας σε άλλες γεωγραφικές περιοχές, όπως στην Άπω Ανατολή, πολλά χρόνια πριν από την εμφάνιση του κορωνοϊού.",2,4,2,4,4,4,3.0,4.0,3.0
τι ξέρεις για το εμβόλιο της Moderna;,faq,"Το εμβόλιό της με κωδική ονομασία mRNA-1273 εγκρίθηκε από αυστηρές ρυθμιστικές αρχές όπως του Ηνωμένου Βασιλείου, των Ηνωμένων Πολιτειών Αμερικής και της Ευρωπαϊκής Ένωσης.","Το εμβόλιο COVID-19 της Moderna, γνωστό και ως mRNA-1273 ή Spikevax, αναπτύχθηκε από την Moderna σε συνεργασία με το Εθνικό Ινστιτούτο Αλλεργιών και Λοιμωδών Νοσημάτων των Ηνωμένων Πολιτειών (NIAID), την Βιοϊατρική Αρχή Προηγμένης Έρευνας και Ανάπτυξης (BARDA) και την φαρμακευτική εταιρία Moderna. Είναι ένα εμβόλιο RNA που χορηγείται με ενδομυϊκή ένεση σε δύο δόσεις των 0,5 mL, με χρονική απόσταση τεσσάρων εβδομάδων μεταξύ τους. Το εμβόλιο στοχεύει στην πρόκληση ανοσίας έναντι του κορονοϊού Sars-Cov-2 και αναπτύχθηκε γρήγορα από την Moderna, η οποία έχει ως στόχο την δημιουργία φαρμάκων και εμβολίων με τεχνολογία βασισμένη στο Αγγελιοφόρο RNA (modRNA).",Το Spikevax (Moderna) είναι ένα mRNA εμβόλιο δύο δόσεων κατά του κορωνοϊού το οποίο έχει εγκριθεί στην Ευρώπη. Χορηγείται σε άτομα άνω των 12 ετών και η δεύτερη δόση του πραγματοποιείται 28 ημέρες μετά την πρώτη.,4,4,4,5,5,5,4.0,5.0,5.0
Πότε ένα τεστ PCR είναι θετικό,out_of_scope,"οι επιβάτες των πτήσεων εξωτερικού πρέπει να έχουν αρνητικό PCR που να έχει διεξαχθεί μέχρι και 48 ώρες πριν, ενώ για όσους εισέρχονται από τα χερσαία σύνορα πρέπει να έχουν αρνητικό PCR που να έχει διεξαχθεί μέχρι 72 ώρες πριν","Ένα τεστ PCR είναι θετικό όταν ανιχνεύει την παρουσία γενετικού υλικού του ιού SARS-CoV-2 (που προκαλεί το COVID-19) στα εξεταζόμενα δείγματα. Σε αυτή την περίπτωση, τα δείγματα μπορούν να προέλθουν από λύματα, τα οποία είναι απόβλητα από εγκαταστάσεις επεξεργασίας λυμάτων, ή από ανθρώπους που εκτελούν αυτοδιαγνωστικά τεστ. Η παρουσία του ιού στα λύματα υποδεικνύει ότι η κοινότητα πιθανότατα απέκκρινε τον ιό μέσω των ούρων, των κοπράνων ή με βήχα ή φτέρνισμα. Από την άλλη, ένα θετικό τεστ σε ένα άτομο υποδηλώνει ότι το άτομο έχει μολυνθεί με το COVID-19.",,1,3,1,5,5,5,,,
Τι πρέπει να κάνουμε αν υπάρχει στο σπίτι άτομο με κορονοϊό;,out_of_scope,"Εάν είναι δυνατόν, κλείστε την πόρτα για να σταματήσετε τη μετακίνηση του αέρα από το δωμάτιο του μολυσμένου ατόμου στο υπόλοιπο σπίτι","Αν υπάρχει στο σπίτι άτομο με κορονοϊό, είναι σημαντικό να λάβουμε μέτρα για να διατηρήσουμε τον εαυτό μας και τους άλλους στο νοικοκυριό υγιείς. Παρακάτω είναι μερικές συμβουλές:  1. **Μειώστε την επαφή με το άτομο. ** Κρατήστε απόσταση από το άτομο, αποφεύγοντας την στενή επαφή και τηρώντας τουλάχιστον 6 πόδια απόσταση. 2. **Φορέστε μάσκα. ** Όλοι στο νοικοκυριό πρέπει να φορούν μάσκες όταν βρίσκονται σε εσωτερικούς χώρους. 3. **Αερίστε το δωμάτιο. ** Ανοίξτε παράθυρα και πόρτες για να επιτρέψετε την κυκλοφορία του αέρα. Αποφύγετε το κάπνισμα και τη χρήση κεριών. 4. **Αποφύγετε την κοινή χρήση προσωπικών αντικειμένων.",,2,3,2,5,5,5,,,
πως νιώθει κάποιος που έχει κορονοϊός;,out_of_scope,"Τα ίδια συναισθήµατα µπορεί να νιώθουν και µέλη της οικογένειας ενός ατόµου που νοσεί από COVID-19, καθώς αισθάνονται ότι έχουν διαφοροποιηθεί από την υπόλοιπη κοινωνική τους οµάδα","Το να έχει κάποιος COVID-19 μπορεί να προκαλέσει μια ευρεία γκάμα συμπτωμάτων, από ήπια συμπτώματα που μοιάζουν με αυτά του κρυολογήματος μέχρι σοβαρά συμπτώματα που απαιτούν ιατρική φροντίδα. Τα συμπτώματα μπορεί να περιλαμβάνουν πυρετό, βήχα, δύσπνοια, κόπωση, πονοκεφάλους, πονόλαιμο, μυϊκούς πόνους, ναυτία, εμετό, διάρροια, απώλεια όρεξης και απώλεια όσφρησης ή γεύσης. Σε σοβαρές περιπτώσεις, μπορεί να εμφανιστούν δυσκολία στην αναπνοή, σύγχυση, απώλεια συνείδησης, επίμονος πόνος ή πίεση στο στήθος, χλωμό ή κυανωτικό δέρμα, απώλεια λόγου ή κίνησης, και επίμονος πυρετός.",,1,2,1,3,3,2,,,
Είναι ασφαλή τα εμβόλια για τα παιδιά;,faq,Τα εμβόλια COVID-19 είναι ασφαλή για ενήλικες και παιδιά ηλικίας 6 μηνών και άνω,"Με βάση τις πληροφορίες που δόθηκαν, τα εμβόλια για τα παιδιά είναι ασφαλή και συνιστώμενα για άτομα ηλικίας 6 μηνών και άνω. Τα εμβόλια COVID-19 έχουν αποδειχθεί ότι είναι ασφαλή για ενήλικες και παιδιά, και ο ΠΟΥ συνιστά το εμβόλιο κατά της γρίπης για ηλικιωμένα άτομα, μικρά παιδιά, έγκυες γυναίκες, άτομα με υποκείμενες παθήσεις, και εργαζομένους στον τομέα της υγείας και της περίθαλψης.","Κατά την Πρόεδρο της Εθνικής Επιτροπής Εμβολιασμών, Ομότιμη Καθηγήτρια Παιδιατρικής, Μαρία Θεοδωρίδου, «Σύμφωνα με το εμβολιαστικό πρόγραμμα της χώρας μας, οι ομάδες που εμβολιάστηκαν πιο πρόσφατα είναι τα παιδιά ηλικίας 5-11 ετών. Τα ανακοινωθέντα σχετικά με την ασφάλεια των εμβολίων από το CDC τα έχουμε αναφέρει σε προηγούμενη ενημέρωση, όμως με τη συμπλήρωση αρκετών στοιχείων που δημοσιεύονται στο Morbidity and Mortality Weekly Report και αφορούν 8,7 εκατομμύρια εμβόλια, τα οποία χορηγήθηκαν σε αυτή την ηλικία, έχουν καταγραφεί οι αναφερόμενες ανεπιθύμητες ενέργειες στα συστήματα φαρμακοεπαγρύπνησης των ΗΠΑ. Τα εμβόλια επιβεβαιώνεται ότι είναι απολύτως ασφαλή. Οι δε ανεπιθύμητες ενέργειες που αναφέρονται είναι ήπιες και είναι οι γνωστές των συμβατικών εμβολίων (πόνος, πυρετός, κόπωση, κεφαλαλγία), ίσως μία μεγαλύτερη συχνότητα παρατηρείται μετά τη δεύτερη δόση.Στο ίδιο δελτίο, το Morbidity and Mortality Weekly Report  δημοσιεύεται και μία ενδιάμεση εκτίμηση της αποτελεσματικότητας για την πρόληψη της λοίμωξης με το εμβόλιο της Pfizer σε εφήβους ηλικίας 12 με 17 ετών. Είναι προοπτική μελέτη. Αφορά σε 243 εφήβους 12-17 ετών, οι οποίοι έχουν συμπληρώσει τον εμβολιασμό τους με δύο δόσεις, και από τους οποίους λαμβάνονταν επί 19 εβδομάδες, ανά εβδομάδα, ένα δείγμα προς εξέταση με την μέθοδο του PCR.Ο έλεγχος αυτός έδειξε ότι η αποτελεσματικότητα της πρόληψης της λοίμωξης με πραγματικές συνθήκες, όχι συνθήκες κλινικών μελετών, αγγίζει το 92%».",2,3,3,3,4,3,5.0,5.0,5.0
Υπάρχει κάτι που μπορώ να κάνω για να βελτιώσω τη γενική μου υγεία και το ανοσοποιητικό μου σύστημα;,out_of_scope,Πίνετε νερό και τρώτε υγιεινά και ισορροπημένα γεύματα,"Μια εξαιρετική προσέγγιση για τη βελτίωση της γενικής σας υγείας και του ανοσοποιητικού σας συστήματος είναι να κάνετε υγιεινές επιλογές που περιλαμβάνουν μια ισορροπημένη διατροφή, τακτική άσκηση, αρκετό ύπνο, αποφυγή καπνού και αλκοόλ, και διαχείριση του στρες μέσω τεχνικών όπως η γιόγκα, ο διαλογισμός ή η εξάσκηση ενσυνειδητότητας. Θα ήταν επίσης ωφέλιμο να διατηρείτε έναν υγιεινό τρόπο ζωής, να μένετε συνδεδεμένοι κοινωνικά, να επιλέγετε τη σωστή ένταση για τη σωματική σας δραστηριότητα, και να μένετε ενεργοί μέσα και γύρω από το σπίτι. Ακολουθώντας αυτά τα βήματα, μπορείτε να διατηρήσετε την υγεία σας κατά τη διάρκεια της πανδημίας COVID-19 και να ενισχύσετε το ανοσοποιητικό σας σύστημα.",,2,3,2,4,4,4,,,
πιστεύεις ότι είναι οκ τα εμβόλια;,faq,τα τρέχοντα συνιστώμενα από τον ΠΟΥ εμβόλια COVID-19 είναι ασφαλή για τους PLHIV.,"Ναι, πιστεύω ότι είναι εντάξει τα εμβόλια. Τα εμβόλια COVID-19 έχουν υποβληθεί σε αυστηρές δοκιμές και ελέγχους ασφαλείας για να διασφαλιστεί η ασφάλειά τους, και έχουν βρεθεί αποτελεσματικά και ασφαλή για χρήση σε άτομα που ζουν με HIV. Επιπλέον, ο ΠΟΥ έχει λάβει μέτρα για να διασφαλίσει δίκαιη και ισότιμη πρόσβαση στα εμβόλια COVID-19 παγκοσμίως, μέσω του πυλώνα εμβολίων του COVAX.","Τα εμβόλια που χρησιμοποιούνται στην Ελλάδα είναι εγκεκριμένα ως ασφαλή και αποτελεσματικά από διεθνείς οργανισμούς, όπως ο Παγκόσμιος Οργανισμός Υγείας. Επιπλέον, ήδη μεγάλο μέρος του παγκόσμιου πληθυσμού έχει εμβολιαστεί χωρίς να έχουν σημειωθεί σοβαρές παρενέργειες, εκτός από συνήθεις αντιδράσεις του οργανισμού ορισμένων ατόμων μετά από εμβολιασμό. Θα σου πρότεινα, αφού επικοινωνήσεις με τον γιατρό σου, να κλείσεις άμεσα ραντεβού για εμβολιασμό.",3,4,2,5,5,5,5.0,5.0,5.0
Πες μου ποιος είναι ο σωστός τρόπος να βήχω,faq,Μιλήστε σε έναν φίλο σας που είναι καλός ακροατής και δε σας υποδεικνύει τι να κάνετε. ∆εν υπάρχει σωστός ή λάθος τρόπος να αισθανθείτε όταν αντιµετωπίζετε το θάνατο ενός αγαπηµένου σας προσώπου.,"Δεν υπάρχει σωστός ή λάθος τρόπος να βήχω. Το πώς βήχετε εξαρτάται από το άτομο και την προτίμησή του. Κάποιοι προτιμούν να βήχουν απαλά και αθόρυβα, ενώ άλλοι μπορεί να βήχουν πιο δυνατά και έντονα. Κάποιοι μπορεί επίσης να βήχουν με ένα συγκεκριμένο μοτίβο ή σειρά. Το πιο σημαντικό είναι να βήχετε με έναν τρόπο που είναι άνετος για εσάς και δεν σας προκαλεί δυσφορία.",Είτε φοράς μάσκα είτε όχι πρέπει πάντοτε να φτερνίζεσαι στον αγκώνα ή πάνω σε κάποιο ύφασμα.,1,2,1,3,3,3,5.0,5.0,5.0
Ποιες δομές περιλαμβάνονται στις εγκαταστάσεις μακροπρόθεσμης περίθαλψης;,faq,τα εμφυτεύματα ή τα ενδομήτρια σπειράματα,"Οι δομές που περιλαμβάνονται στις εγκαταστάσεις μακροπρόθεσμης περίθαλψης είναι:  1. Διοικητικά μέτρα όπως η διαλογή, ο έλεγχος και η απομόνωση/τοποθέτηση των ασθενών. 2. Προφυλάξεις υγιεινής και μέτρα ελέγχου της πηγής, όπως πλύσιμο των χεριών, αναπνευστική υγιεινή και μάσκες προσώπου. 3. Περιβαλλοντικά μέτρα όπως ο εξαερισμός, ο καθαρισμός, η απολύμανση και η ασφαλής διαχείριση των αποβλήτων. 4. Προφυλάξεις με βάση τη μετάδοση και μέσα ατομικής προστασίας (ΜΑΠ). Αυτές οι δομές είναι απαραίτητες για την πρόληψη και τον έλεγχο των λοιμώξεων σε χώρους υγειονομικής περίθαλψης, συμπεριλαμβανομένου του COVID-19.","Τέτοιες εγκαταστάσεις είναι οι οίκοι ευγηρίας, οι δομές φροντίδας χρόνιων πασχόντων, καθώς και τα κέντρα αποκατάστασης.",1,1,1,2,2,2,3.0,3.0,3.0
έχω πονόλαιμο. πρέπει να κάνω τεστ για covid;,out_of_scope,Καλέστε τον πάροχο υγειονομικής περίθαλψης για να εξεταστείτε,"Δεν είναι απαραίτητα απαραίτητο να κάνετε τεστ για COVID-19 εάν έχετε πονόλαιμο. Ωστόσο, είναι σημαντικό να διατηρείτε καλή προσωπική υγιεινή και να ακολουθείτε τα κατάλληλα πρωτόκολλα ασφάλειας για να αποτρέψετε την εξάπλωση του ιού. Εάν εμφανίσετε συμπτώματα όπως πυρετό, βήχα ή δυσκολία στην αναπνοή, θα πρέπει να εξεταστείτε για COVID-19. Επιπλέον, εάν έχετε εκτεθεί σε κάποιον που έχει COVID-19, θα πρέπει να κάνετε τεστ για να βεβαιωθείτε ότι δεν έχετε μολυνθεί.",,3,2,2,5,5,5,,,
μπορώ να ταξιδέψω στο εξωτερικό?,out_of_scope,"μπορεί να εξακολουθείτε να ελέγχεστε κατά την είσοδο ή την έξοδο από έναν τόπο, προορισμό ή χώρα.","Λαμβάνοντας υπόψη τις πληροφορίες που δόθηκαν, δεν είναι δυνατό να ταξιδέψετε στο εξωτερικό λόγω των ταξιδιωτικών περιορισμών και των κανονισμών ασφαλείας που έχουν τεθεί σε ισχύ λόγω της πανδημίας του COVID-19. Είναι σημαντικό να ακολουθείτε όλες τις οδηγίες και τις κατευθυντήριες γραμμές που παρέχονται από τις κυβερνητικές αρχές και να δίνετε προτεραιότητα στην ασφάλεια και την ευημερία σας.",,2,4,2,4,4,4,,,
Ξέρεις τι σημαίνει πανδημία;,faq,"Ο όρος Πανδημία που προκύπτει από τις λέξεις ""πας"" (όλος) και ""δήμος"" (πληθυσμός), είναι επιδημία λοιμωδών ασθενειών που εξαπλώνεται με γρήγορους ρυθμούς σε μια μεγάλη περιοχή (ήπειρο) ή σε παγκόσμια κλίμακα και απειλεί το σύνολο σχεδόν του πληθυσμού.","Βασισμένοι στις παρεχόμενες πληροφορίες, μια πανδημία είναι μια επιδημία που εξαπλώνεται γρήγορα σε μια μεγάλη περιοχή ή σε παγκόσμια κλίμακα, απειλώντας το μεγαλύτερο μέρος του πληθυσμού. Η πανδημία ξεκινά με τη μόλυνση ζώων από τον ιό, αργότερα σε λίγες περιπτώσεις τα ζώα μολύνουν ανθρώπους, στη συνέχεια φτάνει ένα στάδιο στο οποίο ο ιός αρχίζει να εξαπλώνεται από άνθρωπο σε άνθρωπο και τελειώνει όταν λοιμώξεις από τον νέο ιό έχουν εξαπλωθεί σε όλο σχεδόν τον κόσμο. Οι πληροφορίες αναφέρουν επίσης ότι η πανδημία COVID-19 είναι μια επιδημία που εξαπλώνεται γρήγορα σε παγκόσμια κλίμακα και έχει επηρεάσει τους ανθρώπους σε όλο τον κόσμο. Τα κράτη μέλη του ΠΟΥ έχουν καθιερώσει μια συμφωνία για την ετοιμότητα και την αντιμετώπιση της πανδημίας για την αντιμετώπιση των επιπτώσεων της πανδημίας COVID-19.",Πανδημία είναι μία επιδημία λοιμωδών ασθενειών που εξαπλώνεται με γρήγορους ρυθμούς σε μία ήπειρο ή παγκοσμίως και απειλεί το σύνολο σχεδόν του πληθυσμού.,4,4,4,5,5,5,4.0,5.0,5.0
γιατί πρέπει να κάνω test για να πάω διακοπές,out_of_scope,Όχι.,"Δεν είναι απαραίτητο να κάνετε τεστ για να πάτε διακοπές. Ωστόσο, είναι σημαντικό να γνωρίζετε τις οδηγίες και τις προφυλάξεις που ισχύουν για τον COVID-19, όπως η τήρηση των μέτρων φυσικής απομάκρυνσης, το τακτικό πλύσιμο των χεριών και η αποφυγή της επαφής με το πρόσωπό σας. Εάν εμφανίσετε συμπτώματα της νόσου, θα πρέπει να ακολουθήσετε τις οδηγίες του παρόχου υγειονομικής περίθαλψης ή της τηλεφωνικής γραμμής COVID-19 για περαιτέρω οδηγίες. Επιπλέον, είναι σημαντικό να λαμβάνετε προφυλάξεις όταν ταξιδεύετε, όπως η χρήση μάσκας, το συχνό πλύσιμο των χεριών και η διατήρηση απόστασης από τους άλλους.",,1,1,1,4,3,3,,,
Τι πρέπει να κάνω αν θέλω να μετακινηθώ εκτός σπιτιού;,out_of_scope,"Δεν επιτρέπονται οι μετακινήσεις εκτός περιφερειακών ενοτήτων εκτός εάν αφορούν μετάβαση στον τόπο κατοικίας, με σχετική βεβαίωση (ΑΑΔΕ).","Για να μετακινηθείτε εκτός σπιτιού, πρέπει να ακολουθήσετε τις οδηγίες που δίνονται από το κράτος. Αυτές οι οδηγίες τονίζουν ότι πρέπει να μένετε σπίτι και να είστε σε κοινωνική απόσταση, που σημαίνει ότι πρέπει να μένετε 2 μέτρα μακριά από τους άλλους ανθρώπους όταν βρίσκεστε εκτός του σπιτιού. Αν πρέπει να μετακινηθείτε εκτός σπιτιού, βεβαιωθείτε ότι έχετε έναν έγκυρο λόγο μετακίνησης, όπως η μετάβαση στον τόπο κατοικίας ή η αγορά απαραίτητων αγαθών και υπηρεσιών. Επίσης, βεβαιωθείτε ότι έχετε τη σχετική βεβαίωση (ΑΑΔΕ) και τηρείτε τα μέτρα κοινωνικής απόστασης και τις άλλες οδηγίες που δίνονται από το κράτος.",,3,4,3,5,4,4,,,
τα φρούτα κάνουν καλο,out_of_scope,Πλύνετε τα φρούτα και τα λαχανικά με τον ίδιο τρόπο που θα κάνατε σε οποιαδήποτε άλλη περίσταση,Πλύνετε τα φρούτα και τα λαχανικά με πόσιμο νερό και ακολουθήστε τα πέντε κλειδιά του ΠΟΥ για ασφαλέστερα τρόφιμα.,,1,1,1,3,3,2,,,
Από ποια ηλικία και πάνω πρέπει να φοράνε μάσκα τα παιδιά;,faq,5 ετών και κάτω,Πρέπει να φορούν μάσκα παιδιά που είναι 12 ετών και άνω.,"Η μάσκα μπορεί να χρησιμοποιηθεί σε όλα τα παιδιά άνω των 2 ετών (συμπεριλαμβανομένης της συντριπτικής πλειονότητας των παιδιών που αντιμετωπίζουν προβλήματα υγείας, με ελάχιστες εξαιρέσεις). Ωστόσο, τα παιδιά κάτω των 2 ετών δεν πρέπει να φορούν υφασμάτινες μάσκες, λόγω κινδύνου ασφυξίας. Το ίδιο ισχύει και για τα άτομα που δεν είναι σε θέση να αφαιρέσουν μόνα τους τη μάσκα τους.",2,2,2,2,2,2,5.0,5.0,5.0
Μπορείς να μου πεις ποιος είναι ασυμπτωματικός;,faq,άτομα που έχουν μολυνθεί αλλά δεν εμφανίζουν ποτέ συμπτώματα,Ο ασυμπτωματικός αναφέρεται σε άτομα που έχουν μολυνθεί από τον ιό COVID-19 αλλά δεν εμφανίζουν συμπτώματα.,"Ασυμπτωματικό θεωρείται το άτομο που δεν εμφανίζει συμπτώματα όσο περνάει τον κορωνοϊό, αλλά τον μεταδίδει.",4,5,5,5,5,5,4.0,5.0,3.0
Επιβαρύνομαι χρηματικά για να εμβολιαστώ;,faq,θα πρέπει να εμβολιαστείτε εάν σχεδιάζετε να μείνετε έγκυος,"Όχι, δεν υπάρχει κάποια οικονομική επιβάρυνση για τον εμβολιασμό. Ο εμβολιασμός κατά του COVID-19 συνιστάται για όσους διατρέχουν υψηλό κίνδυνο σοβαρής νόσου, όπως ηλικιωμένα άτομα, ενήλικες με χρόνια νοσήματα, άτομα με ανοσοκατασταλτικές καταστάσεις και εργαζόμενοι στον τομέα της υγείας με άμεση επαφή με ασθενείς. Το εμβόλιο COVID-19 μπορεί να χορηγηθεί με ασφάλεια ανά πάσα στιγμή κατά τη διάρκεια της εγκυμοσύνης, και συνιστάται μια εφάπαξ δόση. Δεν υπάρχουν στοιχεία που να υποδεικνύουν ότι τα εμβόλια COVID-19 επηρεάζουν τη γονιμότητα.",Το εμβόλιο κατά του κορωνοϊού προσφέρεται δωρεάν σε κάθε πολίτη της χώρας μας από την Ευρωπαϊκή Ένωση και το Ελληνικό Κράτος.,1,3,1,2,3,3,4.0,5.0,5.0
γιατί πρέπει να κάνω test για να πάω διακοπές,out_of_scope,Όχι.,"Δεν είναι απαραίτητο να κάνετε τεστ για να πάτε διακοπές. Ωστόσο, είναι σημαντικό να γνωρίζετε τις οδηγίες και τις προφυλάξεις που ισχύουν για τον COVID-19, όπως η τήρηση των μέτρων φυσικής απομάκρυνσης, το τακτικό πλύσιμο των χεριών και η αποφυγή της επαφής με το πρόσωπό σας. Εάν εμφανίσετε συμπτώματα της νόσου, θα πρέπει να ακολουθήσετε τις οδηγίες του παρόχου υγειονομικής περίθαλψης ή της τηλεφωνικής γραμμής COVID-19 για περαιτέρω οδηγίες. Επιπλέον, είναι σημαντικό να λαμβάνετε προφυλάξεις όταν ταξιδεύετε, όπως η χρήση μάσκας, το συχνό πλύσιμο των χεριών και η διατήρηση απόστασης από τους άλλους.",,1,2,1,4,3,4,,,
Πως φοράμε μια μάσκα σωστά;,faq,"Πριν αγγίξετε τη μάσκα, καθαρίστε τα χέρια σας με αντισηπτικό για τα χέρια με βάση το οινόπνευμα ή σαπούνι και ποτίστε τη μάσκα για δάκρυα ή τρύπες, μην χρησιμοποιείτε μια μάσκα που έχει υποστεί ζημιά η μάσκα να καλύπτει το στόμα, τη μύτη και το πηγούνι σας, χωρίς να αφήνει κενά στις πλευρές τους ιμάντες πίσω από το κεφάλι ή τα αυτιά σας.","Για να φορέσετε σωστά μια μάσκα, ακολουθήστε τα παρακάτω βήματα:  1. Πλύνετε ή απολυμάνετε τα χέρια σας πριν αγγίξετε τη μάσκα. 2. Βεβαιωθείτε ότι η μάσκα είναι σε καλή κατάσταση και δεν έχει υποστεί ζημιά. 3. Προσδιορίστε την εσωτερική πλευρά της μάσκας (συνήθως είναι λευκή), καθώς αυτή θα πρέπει να είναι στραμμένη προς τα έξω. 4. Τοποθετήστε τη μάσκα στο πρόσωπό σας καλύπτοντας τη μύτη, το στόμα και το πηγούνι σας, βεβαιώνοντας ότι δεν υπάρχουν κενά στις πλευρές. 5. Η μάσκα θα πρέπει να καλύπτει το στόμα και τη μύτη σας, αλλά δεν θα πρέπει να είναι πολύ σφιχτή. Θα πρέπει να μπορείτε να αναπνέετε άνετα.","Καθάρισε τα χέρια σου με σαπούνι ή με αλκοολούχο αντισηπτικό αμέσως πριν φορέσεις τη μάσκα και οπωσδήποτε πριν την αφαιρέσεις. Τοποθέτησε τη μάσκα ώστε να καλύπτει πλήρως τη μύτη, το στόμα και το πηγούνι και να μην υπάρχουν κενά μεταξύ μάσκας και προσώπου. Πρέπει να προσέχεις να μην αγγίζεις το μπροστινό μέρος της μάσκας, καθώς θεωρείται μολυσμένο!​",4,3,4,5,5,5,4.0,4.0,4.0
Ποιο είναι το ποσοστό θνησιμότητας της μόλυνσης από SARS-CoV-2;,out_of_scope,33%,"Το ποσοστό θνησιμότητας της μόλυνσης από SARS-CoV-2 ποικίλλει ανάλογα με διάφορους παράγοντες, όπως η ηλικία του ατόμου, η γενική υγεία και η σοβαρότητα των συμπτωμάτων. Σύμφωνα με τον Παγκόσμιο Οργανισμό Υγείας (ΠΟΥ), το ποσοστό θνησιμότητας παγκοσμίως ήταν περίπου 2,4% από τον Οκτώβριο του 2021. Ωστόσο, αυτό το ποσοστό μπορεί να ποικίλλει σε διαφορετικές περιοχές και χώρες, ανάλογα με την πρόσβαση σε ιατρική περίθαλψη και υποδομές δημόσιας υγείας. Για παράδειγμα, το ποσοστό θνησιμότητας στις Ηνωμένες Πολιτείες ήταν περίπου 1,3% από τον Οκτώβριο του 2021. Είναι σημαντικό να σημειωθεί ότι αυτά τα ποσοστά είναι εκτιμήσεις και μπορεί να αλλάξουν με την πάροδο του χρόνου.",,1,1,1,4,5,4,,,
